[parent 0:00.000] 0:00.000: Child 2 message 1
[parent 0:01.000] 0:01.000: Child 2 message 2
[parent 0:01.000] 0:01.000: Child 4 message 1
[parent 0:01.000] 0:01.000: Child 4 message 2
[parent 0:02.000] 0:02.000: Child 1 message 1
[parent 0:02.000] 0:02.000: Child 1 message 2
[parent 0:02.000] 0:02.000: Child 3 message 1
[parent 0:02.000] 0:02.000: Child 4 message 3
[parent 0:03.003] 0:03.003: Child 2 message 3
[parent 0:03.003] 0:03.003: Child 2 message 4
[parent 0:03.309] 0:03.308: Child 5: msg 1 from terminal: 123
[parent 0:04.000] 0:04.000: Child 1 message 3
[parent 0:04.000] 0:04.000: Child 3 message 2
[parent 0:04.000] 0:04.000: Child 4 message 4
[parent 0:04.000] 0:04.000: Child 4 message 5
[parent 0:04.004] 0:04.004: Child 2 message 5
[parent 0:04.542] 0:04.542: Child 5: msg 2 from terminal: 123
[parent 0:05.001] 0:05.001: Child 1 message 4
[parent 0:05.362] 0:05.362: Child 5: msg 3 from terminal: 333
[parent 0:06.001] 0:06.001: Child 4 message 6
[parent 0:06.001] 0:06.001: Child 4 message 7
[parent 0:06.001] 0:06.001: Child 3 message 3
[parent 0:06.002] 0:06.001: Child 1 message 5
[parent 0:06.004] 0:06.004: Child 2 message 6
[parent 0:06.004] 0:06.004: Child 2 message 7
[parent 0:07.002] 0:07.002: Child 1 message 6
[parent 0:07.004] 0:07.004: Child 3 message 4
[parent 0:07.005] 0:07.005: Child 2 message 8
[parent 0:07.375] 0:07.375: Child 5: msg 4 from terminal: prompt
[parent 0:08.006] 0:08.005: Child 2 message 9
[parent 0:08.006] 0:08.005: Child 4 message 8
[parent 0:08.006] 0:08.005: Child 4 message 9
[parent 0:08.006] 0:08.006: Child 1 message 7
[parent 0:08.006] 0:08.006: Child 1 message 8
[parent 0:08.006] 0:08.006: Child 1 message 9
[parent 0:08.006] 0:08.006: Child 3 message 5
[parent 0:08.330] 0:08.330: Child 5: msg 5 from terminal: a
[parent 0:09.007] 0:09.007: Child 3 message 6
[parent 0:09.007] 0:09.007: Child 3 message 7
[parent 0:09.013] 0:09.013: Child 5: msg 6 from terminal: ;
[parent 0:10.009] 0:10.009: Child 1 message 10
[parent 0:10.009] 0:10.009: Child 2 message 10
[parent 0:10.009] 0:10.009: Child 2 message 11
[parent 0:10.009] 0:10.009: Child 4 message 10
[parent 0:11.011] 0:11.011: Child 3 message 8
[parent 0:11.011] 0:11.011: Child 3 message 9
[parent 0:11.011] 0:11.011: Child 3 message 10
[parent 0:12.010] 0:12.010: Child 1 message 11
[parent 0:12.010] 0:12.010: Child 1 message 12
[parent 0:12.010] 0:12.010: Child 1 message 13
[parent 0:12.010] 0:12.010: Child 1 message 14
[parent 0:12.010] 0:12.010: Child 4 message 11
[parent 0:12.013] 0:12.013: Child 2 message 12
[parent 0:12.013] 0:12.013: Child 2 message 13
